time,coin,funding,open_interest,premium,day_ntl_vlm,current_price,long_number,short_number
2024-10-25T00:00:00,BTC,1.25e-05,5099.8603,4.3990000000000004e-05,424438939.32584006,68194.0,57,55
2024-10-25T00:05:00,BTC,1.25e-05,5099.47624,4.3960000000000006e-05,423481809.63792,68241.0,58,64
2024-10-25T00:10:00,BTC,1.25e-05,5098.86496,0.0,423913092.30162,68140.0,59,84
2024-10-25T00:15:00,BTC,1.25e-05,5098.99142,2.9330000000000002e-05,424176738.95335,68173.0,93,48
2024-10-25T00:20:00,BTC,1.25e-05,5100.73434,-1.466e-05,423083301.8813501,68228.0,70,87
2024-10-25T00:25:00,BTC,1.25e-05,5105.6134,0.0,423566144.36095005,68199.0,58,99
2024-10-25T00:30:00,BTC,1.25e-05,5105.3095,-0.00019076,423859130.19685006,68136.0,86,53
2024-10-25T00:35:00,BTC,1.25e-05,5109.12734,-8.821999999999999e-05,421101592.6457701,68007.0,69,59
2024-10-25T00:40:00,BTC,1.25e-05,5107.56098,-4.117e-05,422072989.14901006,68014.0,77,46
2024-10-25T00:45:00,BTC,1.25e-05,5111.1711,0.0,423352631.3079201,68018.0,49,73
2024-10-25T00:50:00,BTC,1.25e-05,5122.81786,-0.00011764,411021426.1712601,67998.0,59,64
2024-10-25T00:55:00,BTC,1.25e-05,5104.52258,-0.00019126,413983354.9883901,67958.0,46,62
2024-10-25T01:00:00,BTC,1.25e-05,5102.1875,-0.00013237,414235492.6470501,67979.0,60,64
2024-10-25T01:05:00,BTC,1.25e-05,5077.54448,0.0,411504938.63307005,67911.0,51,104
2024-10-25T01:10:00,BTC,1.25e-05,5068.3996,-0.00010311000000000001,413938176.23991007,67880.0,51,80
2024-10-25T01:15:00,BTC,1.25e-05,5067.15818,-0.00011787000000000001,414134411.8990001,67859.0,65,85
2024-10-25T01:20:00,BTC,1.25e-05,5062.51008,-0.00020609,407469796.5143601,67916.0,66,64
2024-10-25T01:25:00,BTC,1.25e-05,5050.79648,-5.889000000000001e-05,408328139.33216006,67913.0,69,66
2024-10-25T01:30:00,BTC,1.25e-05,5043.5749,-0.00016029,408976361.12456006,67990.0,88,64
2024-10-25T01:35:00,BTC,1.25e-05,5025.2244,-0.0002061,407549955.90562,67913.0,59,83
2024-10-25T01:40:00,BTC,1.25e-05,5025.44226,-2.0630000000000004e-05,407615940.8805201,67859.0,81,36
2024-10-25T01:45:00,BTC,1.25e-05,5025.03722,-0.0002062,407660563.3974201,67882.0,67,74
2024-10-25T01:50:00,BTC,1.25e-05,5037.26654,-0.00021064,407918991.53568006,67870.0,74,48
2024-10-25T01:55:00,BTC,1.25e-05,5036.50522,-0.00030922,407991906.98598,67892.0,74,67
2024-10-25T02:00:00,BTC,1.25e-05,5025.01666,-0.0001839,408889442.78998005,67950.0,93,41
2024-10-25T02:05:00,BTC,1.25e-05,5008.38528,0.0,408206711.70448,68037.0,53,79
2024-10-25T02:10:00,BTC,1.25e-05,5004.43622,-0.00011766000000000001,408752202.07348,67984.0,61,61
2024-10-25T02:15:00,BTC,1.25e-05,5004.42166,-4.417e-05,408824297.02348,67914.0,78,59
2024-10-25T02:20:00,BTC,1.25e-05,5003.85396,-8.835000000000002e-05,408005607.48967,67905.0,76,55
2024-10-25T02:25:00,BTC,1.25e-05,5004.439,-0.00013259,408140441.07226,67867.0,66,71
2024-10-25T02:30:00,BTC,1.25e-05,5020.21254,-0.00014567,409423703.58295,67949.0,84,45
2024-10-25T02:35:00,BTC,1.25e-05,5014.03548,-4.4120000000000004e-05,407625909.78697,67986.0,51,68
2024-10-25T02:40:00,BTC,1.25e-05,5012.18688,2.9420000000000003e-05,408279717.89197,67979.0,52,76
2024-10-25T02:45:00,BTC,1.25e-05,5011.37782,-0.00015293000000000001,408324833.29447,67989.0,90,56
2024-10-25T02:50:00,BTC,1.25e-05,5006.80404,-4.409e-05,401751265.74539,68041.0,81,61
2024-10-25T02:55:00,BTC,1.25e-05,5013.14548,-2.9380000000000003e-05,402982985.50349,68061.0,63,76
2024-10-25T03:00:00,BTC,1.25e-05,5012.99754,-4.407e-05,403102698.89599,68063.0,59,58
2024-10-25T03:05:00,BTC,1.25e-05,5010.68798,-5.869e-05,401457404.60975,68146.0,48,90
2024-10-25T03:10:00,BTC,1.25e-05,4996.99966,0.0,402206335.83025,68093.0,49,86
2024-10-25T03:15:00,BTC,1.25e-05,4997.58046,-4.402e-05,402308439.17844,68149.0,61,67
2024-10-25T03:20:00,BTC,1.25e-05,4997.93816,-2.9340000000000004e-05,401658823.8107601,68169.0,71,65
2024-10-25T03:25:00,BTC,1.25e-05,4999.7437,-8.793e-05,401866133.38476,68226.0,69,66
2024-10-25T03:30:00,BTC,1.25e-05,5005.75542,-1.4670000000000002e-05,402371993.11576,68171.0,74,69
2024-10-25T03:35:00,BTC,1.25e-05,5005.1481,-0.00013208,402016002.05935,68133.0,63,63
2024-10-25T03:40:00,BTC,1.25e-05,5006.52964,-0.00011746,402260360.67882,68102.0,60,70
2024-10-25T03:45:00,BTC,1.25e-05,5008.59292,-0.00014691000000000001,402631868.76059,68060.0,72,63
2024-10-25T03:50:00,BTC,1.25e-05,5002.97122,-0.00024548,399500633.89162,68011.0,104,47
2024-10-25T03:55:00,BTC,1.25e-05,4994.23728,-0.00010293,400014969.43702006,68000.0,67,78
2024-10-25T04:00:00,BTC,1.25e-05,4988.76514,-5.882e-05,400579681.63322,68002.0,55,69
2024-10-25T04:05:00,BTC,1.25e-05,4997.33374,-4.4120000000000004e-05,400524294.01308,67995.0,62,63
2024-10-25T04:10:00,BTC,1.25e-05,4998.74442,-0.00011769,401027144.9167,67968.0,63,68
2024-10-25T04:15:00,BTC,1.25e-05,4997.08836,-7.362e-05,401338099.51468,67916.0,41,83
